TIPO_ACTIVIDAD;SECC._TARIFA;EPIGRAFE;DESCRIPCION;NUMERO
EMPRESARIAL;1;4681;FAB._MOBILIARIO_DE_MADERA_PARA_EL_HOGAR;57
LOCAL_AFECTO;1;4681;FAB._MOBILIARIO_DE_MADERA_PARA_EL_HOGAR;1
EMPRESARIAL;1;4682;FAB._MOBILIARIO_MADERA_ESCOLAR_Y_OFICINA;3
EMPRESARIAL;1;4683;FAB._MUEBLES_DIV._MADERA;11
EMPRESARIAL;1;4684;FAB._ATAUDES;1
EMPRESARIAL;1;4685;ACTIV._ANEXAS_IND._MUEBLE;25
EMPRESARIAL;1;471;FAB._PASTA_PAPELERA;1
LOCAL_AFECTO;1;471;FAB._PASTA_PAPELERA;1
EMPRESARIAL;1;4732;FAB._OTROS_ART._Y_ENVASES_PAPEL_Y_CARTON;6
LOCAL_AFECTO;1;4732;FAB._OTROS_ART._Y_ENVASES_PAPEL_Y_CARTON;1
EMPRESARIAL;1;4733;FAB._ART._OFICINA;2
LOCAL_AFECTO;1;4733;FAB._ART._OFICINA;1
EMPRESARIAL;1;4734;FAB._ART._DECORACION_EN_PAPEL_Y_CARTON;1
EMPRESARIAL;1;4739;FAB._OTROS_MANIPULADOS_PAPEL_Y_CARTON;1
LOCAL_AFECTO;1;4739;FAB._OTROS_MANIPULADOS_PAPEL_Y_CARTON;1
EMPRESARIAL;1;474;ARTES_GRAFICAS_(IMPRESION_GRAFICA);84
LOCAL_AFECTO;1;474;ARTES_GRAFICAS_(IMPRESION_GRAFICA);2
EMPRESARIAL;1;475;ACTIVIDADES_ANEXAS_ARTES_GRAFICAS;32
EMPRESARIAL;1;4761;EDICION_DE_LIBROS;51
LOCAL_AFECTO;1;4761;EDICION_DE_LIBROS;2
EMPRESARIAL;1;4762;EDICION_DE_PERIODICOS_Y_REVISTAS;29
LOCAL_AFECTO;1;4762;EDICION_DE_PERIODICOS_Y_REVISTAS;2
EMPRESARIAL;1;4769;OTRAS_EDICIONES_NCOP;17
EMPRESARIAL;1;4812;RECAUCHUTADO_Y_RECONSTRUCCION_CUBIERTAS;3
EMPRESARIAL;1;4819;FAB._OTROS_ART._CAUCHO_NCOP;9
LOCAL_AFECTO;1;4819;FAB._OTROS_ART._CAUCHO_NCOP;1
EMPRESARIAL;1;4821;FAB._PTOS._SEMIELABORADOS_PLASTICO;4
EMPRESARIAL;1;4822;FAB._ART._ACABADOS_MATERIAS_PLASTICAS;14
EMPRESARIAL;1;4911;JOYERIA;35
LOCAL_AFECTO;1;4911;JOYERIA;1
EMPRESARIAL;1;4912;BISUTERIA;5
EMPRESARIAL;1;492;FAB._INSTRUMENTOS_DE_MUSICA;1
EMPRESARIAL;1;493;LABORATORIOS_FOTOGRAFICOS_Y_CINEMAT.;3
EMPRESARIAL;1;4941;FAB._JUEGOS_Y_JUGUETES;1
LOCAL_AFECTO;1;4941;FAB._JUEGOS_Y_JUGUETES;2
EMPRESARIAL;1;4942;FAB._ART._DEPORTE;6
EMPRESARIAL;1;4959;FAB._OTROS_ART._NCOP;12
LOCAL_AFECTO;1;4959;FAB._OTROS_ART._NCOP;1
EMPRESARIAL;1;5011;CONSTRUCCION_COMPLETA;457
LOCAL_AFECTO;1;5011;CONSTRUCCION_COMPLETA;89
EMPRESARIAL;1;5012;CONSTRUCC._COMPLETA_OBRAS_CIVILES;46
LOCAL_AFECTO;1;5012;CONSTRUCC._COMPLETA_OBRAS_CIVILES;14
EMPRESARIAL;1;5013;ALBAÑILERIA_Y_PEQ._TRABAJOS_CONSTRUCCION;612
LOCAL_AFECTO;1;5013;ALBAÑILERIA_Y_PEQ._TRABAJOS_CONSTRUCCION;35
EMPRESARIAL;1;5021;DEMOLICIONES_Y_DERRIBOS_EN_GENERAL;13
EMPRESARIAL;1;5022;CONSOLIDACION_Y_PREPARACION_DE_TERRENOS;30
EMPRESARIAL;1;5023;CONSOLID._Y_PREP._TERRENOS_OBRAS_CIVILES;12
EMPRESARIAL;1;5025;CIMENTACIONES_Y_PAVIMENTAC.OBRAS_CIVILES;2
EMPRESARIAL;1;5026;PERFORACIONES_ALUMBRAMIENTO_DE_AGUAS;1
EMPRESARIAL;1;5031;PREP._MONTAJE_ESTRUCTURAS_Y_CUBIERTAS;11
LOCAL_AFECTO;1;5031;PREP._MONTAJE_ESTRUCTURAS_Y_CUBIERTAS;5
EMPRESARIAL;1;5032;PREP._ESTRUC._CUBIERTAS_EN_OBRAS_CIVILES;3
EMPRESARIAL;1;5033;MONTAJE_ESTRUC._METALICAS_TTE._Y_OBRAS;9
LOCAL_AFECTO;1;5033;MONTAJE_ESTRUC._METALICAS_TTE._Y_OBRAS;3
EMPRESARIAL;1;5034;OBRAS_SIN_MAQUINAS_Y_SIN_MAS_4_OBREROS;5
LOCAL_AFECTO;1;5034;OBRAS_SIN_MAQUINAS_Y_SIN_MAS_4_OBREROS;1
EMPRESARIAL;1;5041;INSTALACIONES_ELECTRICAS_EN_GENERAL;268
LOCAL_AFECTO;1;5041;INSTALACIONES_ELECTRICAS_EN_GENERAL;59
EMPRESARIAL;1;5042;INSTALACIONES_FONTANERIA;171
LOCAL_AFECTO;1;5042;INSTALACIONES_FONTANERIA;30
EMPRESARIAL;1;5043;INSTALACIONES_FRIO_Y_CALOR;80
LOCAL_AFECTO;1;5043;INSTALACIONES_FRIO_Y_CALOR;15
EMPRESARIAL;1;5044;INSTALACIONES_PARARRAYOS;1
EMPRESARIAL;1;5045;INSTALACION_COCINAS;33
LOCAL_AFECTO;1;5045;INSTALACION_COCINAS;1
EMPRESARIAL;1;5046;INSTALACION_APARATOS_ELEVADORES;14
LOCAL_AFECTO;1;5046;INSTALACION_APARATOS_ELEVADORES;3
EMPRESARIAL;1;5047;INSTALACIONES_TELEFONICAS;24
LOCAL_AFECTO;1;5047;INSTALACIONES_TELEFONICAS;8
EMPRESARIAL;1;5048;MONTAJES_METALICOS_E_INSTALAC._INDUSTR.;33
LOCAL_AFECTO;1;5048;MONTAJES_METALICOS_E_INSTALAC._INDUSTR.;8
EMPRESARIAL;1;5051;REVESTIMIENTOS_EXTERIORES_E_INTERIORES;56
LOCAL_AFECTO;1;5051;REVESTIMIENTOS_EXTERIORES_E_INTERIORES;3
EMPRESARIAL;1;5052;SOLADOS_Y_PAVIMENTOS;25
LOCAL_AFECTO;1;5052;SOLADOS_Y_PAVIMENTOS;1
EMPRESARIAL;1;5053;SOLADOS_Y_PAVIMENTOS_DE_MADERA;53
LOCAL_AFECTO;1;5053;SOLADOS_Y_PAVIMENTOS_DE_MADERA;5
EMPRESARIAL;1;5054;COLOCACION_DE_AISLAMIENTOS_EN_EDIFICIOS;45
LOCAL_AFECTO;1;5054;COLOCACION_DE_AISLAMIENTOS_EN_EDIFICIOS;6
EMPRESARIAL;1;5055;CARPINTERIA_Y_CERRAJERIA;181
LOCAL_AFECTO;1;5055;CARPINTERIA_Y_CERRAJERIA;24
EMPRESARIAL;1;5056;PINTURA;188
LOCAL_AFECTO;1;5056;PINTURA;16
EMPRESARIAL;1;5057;TRABAJOS_EN_YESO_ESCAYOLA_Y_DECORACION;44
LOCAL_AFECTO;1;5057;TRABAJOS_EN_YESO_ESCAYOLA_Y_DECORACION;3
